recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.4000000000,
0.1034482759,0.5000000000,
0.1379310345,0.4444444444,
0.1724137931,0.3333333333,
0.2068965517,0.3529411765,
0.2413793103,0.2121212121,
0.2758620690,0.2285714286,
0.3103448276,0.1956521739,
0.3448275862,0.1851851852,
0.3793103448,0.1929824561,
0.4137931034,0.1875000000,
0.4482758621,0.1940298507,
0.4827586207,0.2000000000,
0.5172413793,0.2112676056,
0.5517241379,0.2222222222,
0.5862068966,0.2266666667,
0.6206896552,0.2117647059,
0.6551724138,0.1727272727,
0.6896551724,0.1612903226,
0.7241379310,0.1680000000,
0.7586206897,0.1605839416,
0.7931034483,0.1474358974,
0.8275862069,0.1348314607,
0.8620689655,0.1275510204,
0.8965517241,0.1287128713,
0.9310344828,0.1088709677,
0.9655172414,0.1007194245,
1.0000000000,0.0657596372,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
